"","ID","Age","Gender","Residence.Ownership","number.of.dependants","status"
"1",1,41,"FEMALE","OTHERS",0,"GOOD"
"2",2,36,"MALE","OWNED",5,"GOOD"
"3",3,40,"FEMALE","RENT",4,"BAD"
"4",4,30,"FEMALE","OWNED",4,"GOOD"
"5",5,37,"MALE","OWNED",4,"GOOD"
"6",6,38,"MALE","RENT",1,"GOOD"
"7",7,47,"FEMALE","RENT",5,"BAD"
"8",8,41,"FEMALE","RENT",2,"BAD"
"9",9,35,"FEMALE","OWNED",0,"GOOD"
"10",10,45,"MALE","OWNED",5,"GOOD"
"11",11,34,"MALE","OWNED",5,"GOOD"
"12",12,35,"FEMALE","PARENTS",3,"GOOD"
"13",13,36,"FEMALE","OWNED",5,"GOOD"
"14",14,31,"MALE","OWNED",1,"GOOD"
"15",15,42,"FEMALE","RENT",1,"GOOD"
"16",16,45,"MALE","OWNED",0,"GOOD"
"17",17,40,"MALE","RENT",5,"BAD"
"18",18,36,"MALE","OWNED",2,"GOOD"
"19",19,40,"MALE","OWNED",0,"GOOD"
"20",20,37,"FEMALE","OWNED",1,"GOOD"
"21",21,33,"FEMALE","PARENTS",2,"GOOD"
"22",22,30,"MALE","OWNED",4,"BAD"
"23",23,33,"MALE","OWNED",1,"GOOD"
"24",24,36,"MALE","OWNED",2,"GOOD"
"25",25,28,"FEMALE","RENT",1,"GOOD"
"26",26,40,"MALE","OWNED",1,"GOOD"
"27",27,39,"MALE","OWNED",4,"GOOD"
"28",28,33,"MALE","RENT",0,"GOOD"
"29",29,35,"FEMALE","RENT",4,"GOOD"
"30",30,27,"MALE","OWNED",0,"GOOD"
"31",31,29,"FEMALE","OWNED",0,"GOOD"
"32",32,38,"MALE","OWNED",3,"GOOD"
"33",33,40,"MALE","OWNED",4,"GOOD"
"34",34,38,"MALE","OWNED",0,"GOOD"
"35",35,28,"FEMALE","OWNED",1,"GOOD"
"36",36,34,"MALE","OWNED",4,"BAD"
"37",37,39,"MALE","PARENTS",4,"GOOD"
"38",38,36,"FEMALE","OWNED",0,"GOOD"
"39",39,37,"MALE","OWNED",2,"GOOD"
"40",40,35,"FEMALE","OWNED",3,"GOOD"
"41",41,35,"FEMALE","RENT",3,"GOOD"
"42",42,35,"FEMALE","OWNED",3,"GOOD"
"43",43,31,"MALE","OTHERS",3,"GOOD"
"44",44,34,"MALE","OWNED",4,"GOOD"
"45",45,42,"MALE","RENT",2,"GOOD"
"46",46,31,"MALE","OWNED",1,"GOOD"
"47",47,35,"MALE","RENT",3,"GOOD"
"48",48,32,"FEMALE","OWNED",0,"GOOD"
"49",49,44,"MALE","OWNED",0,"GOOD"
"50",50,50,"MALE","OWNED",3,"GOOD"
"51",51,24,"MALE","PARENTS",1,"BAD"
"52",52,42,"MALE","RENT",5,"BAD"
"53",53,22,"FEMALE","PARENTS",1,"BAD"
"54",54,30,"FEMALE","RENT",5,"GOOD"
"55",55,31,"MALE","OWNED",4,"GOOD"
"56",56,27,"MALE","RENT",1,"BAD"
"57",57,33,"MALE","RENT",5,"BAD"
"58",58,33,"FEMALE","OWNED",0,"GOOD"
"59",59,37,"MALE","OWNED",0,"GOOD"
"60",60,35,"MALE","RENT",3,"BAD"
"61",61,32,"MALE","OWNED",4,"GOOD"
"62",62,42,"MALE","OWNED",3,"GOOD"
"63",63,27,"MALE","OWNED",1,"BAD"
"64",64,31,"MALE","RENT",0,"GOOD"
"65",65,30,"MALE","RENT",3,"BAD"
"66",66,34,"MALE","OWNED",0,"GOOD"
"67",67,36,"FEMALE","RENT",1,"BAD"
"68",68,31,"FEMALE","RENT",3,"BAD"
"69",69,29,"FEMALE","OWNED",0,"GOOD"
"70",70,40,"MALE","OTHERS",4,"BAD"
"71",71,38,"MALE","OWNED",0,"GOOD"
"72",72,32,"FEMALE","RENT",3,"GOOD"
"73",73,37,"FEMALE","OWNED",0,"GOOD"
"74",74,28,"FEMALE","OWNED",1,"GOOD"
"75",75,31,"MALE","OWNED",5,"BAD"
"76",76,33,"MALE","RENT",3,"BAD"
"77",77,36,"MALE","OWNED",1,"GOOD"
"78",78,33,"MALE","RENT",2,"GOOD"
"79",79,33,"MALE","OWNED",2,"GOOD"
"80",80,40,"MALE","RENT",0,"BAD"
"81",81,39,"MALE","OWNED",0,"GOOD"
"82",82,38,"FEMALE","OWNED",0,"GOOD"
"83",83,27,"FEMALE","OWNED",1,"GOOD"
"84",84,19,"MALE","PARENTS",0,"BAD"
"85",85,34,"FEMALE","OWNED",3,"GOOD"
"86",86,31,"FEMALE","OWNED",4,"GOOD"
"87",87,42,"MALE","OWNED",0,"GOOD"
"88",88,40,"FEMALE","RENT",5,"GOOD"
"89",89,30,"MALE","OWNED",0,"GOOD"
"90",90,35,"MALE","OWNED",2,"GOOD"
"91",91,30,"MALE","OWNED",5,"BAD"
"92",92,31,"MALE","OWNED",1,"GOOD"
"93",93,38,"MALE","OWNED",4,"BAD"
"94",94,30,"FEMALE","OWNED",5,"GOOD"
"95",95,35,"MALE","OTHERS",4,"BAD"
"96",96,33,"FEMALE","OTHERS",0,"GOOD"
"97",97,33,"FEMALE","OWNED",1,"GOOD"
"98",98,30,"MALE","OWNED",2,"GOOD"
"99",99,31,"MALE","PARENTS",0,"BAD"
"100",100,29,"MALE","RENT",1,"BAD"
"101",101,53,"FEMALE","OWNED",2,"GOOD"
"102",102,34,"MALE","RENT",2,"BAD"
"103",103,38,"FEMALE","RENT",4,"GOOD"
"104",104,40,"FEMALE","RENT",5,"BAD"
"105",105,34,"FEMALE","OWNED",4,"GOOD"
"106",106,39,"MALE","OTHERS",3,"BAD"
"107",107,37,"MALE","OWNED",5,"BAD"
"108",108,40,"MALE","RENT",5,"BAD"
"109",109,36,"FEMALE","OWNED",5,"GOOD"
"110",110,37,"FEMALE","RENT",3,"BAD"
"111",111,35,"MALE","OWNED",5,"BAD"
"112",112,32,"MALE","RENT",3,"GOOD"
"113",113,43,"FEMALE","OWNED",5,"GOOD"
"114",114,32,"MALE","OWNED",1,"GOOD"
"115",115,45,"MALE","RENT",3,"GOOD"
"116",116,42,"MALE","RENT",3,"BAD"
"117",117,33,"MALE","OTHERS",4,"GOOD"
"118",118,30,"FEMALE","OWNED",5,"GOOD"
"119",119,36,"MALE","OWNED",1,"GOOD"
"120",120,41,"FEMALE","OWNED",0,"GOOD"
"121",121,39,"MALE","RENT",5,"BAD"
"122",122,38,"MALE","OWNED",2,"GOOD"
"123",123,34,"MALE","OWNED",5,"GOOD"
"124",124,29,"MALE","OWNED",0,"GOOD"
"125",125,28,"MALE","OTHERS",0,"BAD"
"126",126,34,"FEMALE","RENT",1,"GOOD"
"127",127,32,"FEMALE","OWNED",1,"GOOD"
"128",128,27,"MALE","OWNED",0,"GOOD"
"129",129,40,"FEMALE","RENT",0,"BAD"
"130",130,30,"FEMALE","OWNED",0,"GOOD"
"131",131,32,"MALE","RENT",5,"BAD"
"132",132,24,"FEMALE","RENT",1,"GOOD"
"133",133,27,"MALE","RENT",0,"BAD"
"134",134,31,"FEMALE","RENT",3,"BAD"
"135",135,31,"MALE","OWNED",1,"GOOD"
"136",136,44,"MALE","RENT",0,"GOOD"
"137",137,50,"FEMALE","RENT",3,"BAD"
"138",138,47,"FEMALE","RENT",5,"GOOD"
"139",139,39,"FEMALE","OWNED",5,"GOOD"
"140",140,30,"MALE","OWNED",3,"BAD"
"141",141,46,"FEMALE","PARENTS",3,"GOOD"
"142",142,40,"FEMALE","RENT",3,"GOOD"
"143",143,40,"MALE","OWNED",4,"GOOD"
"144",144,31,"FEMALE","OWNED",1,"GOOD"
"145",145,26,"MALE","RENT",0,"BAD"
"146",146,32,"FEMALE","OWNED",1,"GOOD"
"147",147,30,"MALE","OWNED",0,"GOOD"
"148",148,37,"MALE","OWNED",5,"GOOD"
"149",149,25,"MALE","OWNED",1,"GOOD"
"150",150,32,"MALE","RENT",3,"BAD"
"151",151,37,"FEMALE","OWNED",0,"GOOD"
"152",152,33,"MALE","OWNED",5,"BAD"
"153",153,36,"MALE","OWNED",0,"GOOD"
"154",154,32,"MALE","OWNED",3,"BAD"
"155",155,36,"MALE","RENT",0,"GOOD"
"156",156,36,"FEMALE","OWNED",0,"GOOD"
"157",157,41,"MALE","OTHERS",4,"BAD"
"158",158,24,"FEMALE","PARENTS",0,"GOOD"
"159",159,41,"FEMALE","OWNED",1,"GOOD"
"160",160,48,"FEMALE","RENT",0,"GOOD"
"161",161,41,"MALE","RENT",1,"GOOD"
"162",162,38,"FEMALE","RENT",0,"GOOD"
"163",163,36,"FEMALE","RENT",0,"GOOD"
"164",164,31,"FEMALE","OWNED",2,"GOOD"
"165",165,45,"MALE","RENT",2,"BAD"
"166",166,37,"FEMALE","OWNED",0,"GOOD"
"167",167,25,"MALE","OTHERS",0,"BAD"
"168",168,46,"MALE","OWNED",1,"GOOD"
"169",169,30,"FEMALE","OWNED",0,"GOOD"
"170",170,38,"MALE","OWNED",4,"GOOD"
"171",171,33,"FEMALE","RENT",0,"GOOD"
"172",172,29,"MALE","PARENTS",0,"GOOD"
"173",173,39,"FEMALE","RENT",4,"BAD"
"174",174,42,"MALE","RENT",4,"BAD"
"175",175,31,"MALE","RENT",3,"BAD"
"176",176,37,"MALE","RENT",4,"BAD"
"177",177,32,"FEMALE","OWNED",2,"GOOD"
"178",178,30,"FEMALE","OWNED",2,"GOOD"
"179",179,42,"MALE","RENT",3,"BAD"
"180",180,36,"FEMALE","RENT",3,"GOOD"
"181",181,35,"MALE","OWNED",3,"GOOD"
"182",182,36,"MALE","RENT",0,"BAD"
"183",183,41,"FEMALE","RENT",5,"GOOD"
"184",184,43,"MALE","OWNED",3,"BAD"
"185",185,48,"FEMALE","OWNED",5,"GOOD"
"186",186,32,"FEMALE","RENT",0,"GOOD"
"187",187,25,"FEMALE","RENT",0,"GOOD"
"188",188,29,"FEMALE","OWNED",0,"GOOD"
"189",189,31,"FEMALE","OWNED",3,"GOOD"
"190",190,27,"FEMALE","OWNED",1,"GOOD"
"191",191,32,"MALE","OTHERS",1,"BAD"
"192",192,46,"MALE","OWNED",2,"GOOD"
"193",193,29,"MALE","OWNED",1,"GOOD"
"194",194,35,"MALE","OWNED",0,"GOOD"
"195",195,39,"MALE","RENT",1,"BAD"
"196",196,28,"FEMALE","OWNED",1,"GOOD"
"197",197,30,"FEMALE","OWNED",1,"GOOD"
"198",198,36,"MALE","RENT",4,"BAD"
"199",199,33,"MALE","OWNED",0,"GOOD"
"200",200,35,"MALE","PARENTS",3,"BAD"
"201",201,40,"MALE","OWNED",2,"GOOD"
"202",202,37,"FEMALE","OWNED",3,"GOOD"
"203",203,30,"FEMALE","RENT",5,"BAD"
"204",204,26,"MALE","RENT",1,"BAD"
"205",205,35,"MALE","OWNED",2,"GOOD"
"206",206,40,"MALE","OWNED",4,"BAD"
"207",207,30,"MALE","RENT",5,"BAD"
"208",208,31,"FEMALE","OWNED",3,"GOOD"
"209",209,34,"MALE","RENT",1,"BAD"
"210",210,35,"FEMALE","OWNED",3,"GOOD"
"211",211,31,"MALE","OWNED",1,"GOOD"
"212",212,31,"FEMALE","OWNED",2,"GOOD"
"213",213,47,"FEMALE","OWNED",5,"GOOD"
"214",214,32,"MALE","OWNED",2,"GOOD"
"215",215,37,"MALE","OTHERS",0,"GOOD"
"216",216,19,"MALE","RENT",0,"GOOD"
"217",217,30,"FEMALE","PARENTS",2,"GOOD"
"218",218,35,"MALE","OWNED",1,"GOOD"
"219",219,25,"FEMALE","OWNED",1,"GOOD"
"220",220,33,"MALE","RENT",5,"BAD"
"221",221,30,"MALE","RENT",5,"BAD"
"222",222,29,"MALE","OWNED",0,"GOOD"
"223",223,37,"MALE","OWNED",0,"GOOD"
"224",224,30,"FEMALE","OWNED",1,"GOOD"
