Age,Marital status,Address,Income,Income Category,Car price,Car price category,Education,Emply,Retired,Employment category,Gender,Length at current residence,Wireless,Multiple lines,Voice mail,Pager,Internet,Caller ID,Call waiting,Own TV,Own  VCR ,Own CD player,Own PDA,Own computer,Own Fax,Read newspapers,Response
55,Married,12,72.00,UPPER,37.00,Luxury,SMA,23,0,3,Female,5,0,1,1,1,0,1,0,1,1,1,0,No,0,0,1
56,Single,29,153.00,HIGH,76.00,Luxury,SMA,35,0,3,Male,1,1,0,1,1,0,1,1,1,1,1,0,No,0,0,0
28,Married,9,28.00,MIDDLE,13.90,Cheap,S1,4,0,1,Female,9,0,0,0,0,0,0,0,1,1,1,0,No,0,1,1
24,Married,4,26.00,MIDDLE,13.00,Cheap,S2,0,0,1,Male,3,0,0,0,0,0,0,1,1,1,1,0,Yes,0,1,1
25,Married,2,23.00,LOW,11.30,Cheap,D3,5,0,2,Male,5,0,1,0,0,1,1,0,1,1,0,0,Yes,0,1,1
45,Single,9,76.00,HIGH,37.30,Luxury,S1,13,0,2,Male,1,1,1,0,0,1,1,1,1,1,1,0,No,0,1,1
44,Married,17,144.00,HIGH,72.10,Luxury,D3,23,0,3,Male,2,1,0,0,0,0,1,1,1,1,1,0,Yes,1,1,1
46,Married,20,75.00,HIGH,37.10,Luxury,SMA,29,0,3,Male,4,0,0,1,0,0,0,1,1,1,1,0,No,0,0,0
41,Single,10,26.00,MIDDLE,13.00,Cheap,SMA,8,0,2,Male,2,0,0,0,0,9,0,1,1,1,1,0,No,0,0,1
29,Single,4,19.00,LOW,9.60,Cheap,D3,10,0,2,Female,3,0,0,1,0,0,1,0,1,1,1,0,No,0,1,1
34,Single,0,89.00,HIGH,44.40,Luxury,S1,12,0,2,Male,3,1,0,1,0,0,1,1,1,1,1,0,No,1,1,0
55,Single,17,72.00,UPPER,36.10,Luxury,S1,2,0,1,Female,1,1,0,1,0,0,1,1,1,1,1,1,No,0,1,1
28,Single,9,55.00,UPPER,28.20,Expensive,S2,1,0,1,Male,1,0,1,0,0,9,0,0,1,1,1,0,Yes,0,0,1
21,Married,2,20.00,LOW,9.60,Cheap,S1,0,0,1,Female,7,1,0,0,0,0,1,1,1,1,1,0,Yes,1,1,1
